SMILES,TC
*C*,0.33
*CC(*)C,0.21
*CC(*)CC,0.218
*CC(*)CC(C)C,0.174
*CC(*)(C)C,0.124
*/C=C/*,0.535
*/C=C/*,0.21
*/C=C/*,0.89
*CC(*)c1ccccc1,0.152
*CC(*)c1ccccc1Cl,0.226
*CC(*)c1ccc(Cl)cc1,0.202
*CC(*)c1ccc(O)cc1,0.4
*CC(*)O,0.1
*CC(*)C#N,0.158
*CC(*)n1c2ccccc2c2ccccc21,0.14
*CC(*)OC(C)=O,0.218
*CC(*)C(=O)OC,0.2173
*CC(*)C(=O)OCC,0.214
*CC(*)C(=O)OCCCC,0.206
*CC(*)(C)C(=O)OC,0.185
*CC(*)(C)C(=O)OCC,0.1595
*CC(*)(C)C(=O)OCCCC,0.1965
*CC(*)(C)C(=O)OCC(C)C,0.0467
*CC(*)Cl,0.161
*CC(*)(F)F,0.187
*C(*)(F)F,0.24
*C(F)(F)C(*)(F)Cl,0.14
*CC/C=C(/*)Cl,0.163
*CC/C=C(/*)C,0.153
*CC/C=C(/*)C,0.149
*CO*,0.258
*CCO*,0.21
*CC(C)O*,0.381
*CC(CCl)(CCl)CO*,0.186
*Oc1c(C)cc(*)cc1C,0.154
*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,0.17
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,0.24
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,0.23
*Sc1ccc(*)cc1,0.26
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.227
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,0.23
*CCCCCC(=O)O*,0.35
*OC(C)C(*)=O,0.31
*CCCCCC(=O)N*,0.2939
*CCCCCCNC(=O)CCCCC(=O)N*,0.278
*CCCCCCNC(=O)CCCCCCCCC(=O)N*,0.325
*CCCCCCCCCCC(=O)N*,0.21
*CCCCCCCCCCCC(=O)N*,0.329
*NC(C)C(*)=O,0.259
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.266
*c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,0.21
*c1cccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)c1,0.172
*c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,0.152
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,0.223
*O[Si](*)(CC)CC,0.1551
*O[Si](*)(C)C,0.144
*=C=C=C(COS(=O)(=O)c1ccc(C)cc1)C(=*)COS(=O)(=O)c1ccc(C)cc1,0.915
*/C=C(/*)C#N,0.5
*C1Oc2ccccc2C1*,0.1315
*c1sc(*)c2c1OCCO2,0.35
*C(F)(F)C(F)(F)C1(F)C(*)(F)OC(F)(F)C1(F)F,0.125
*c1cc(CCCC)c(*)s1,0.233
*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCCCCCCCC)c(C(*)=O)cc2OCCCCCCCCCCCCCCCC)cc1,0.4
*C(=O)Nc1ccc(Oc2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,0.26
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,0.9
*c1ccc(*)[nH]1,0.3
*Nc1ccc(*)cc1,0.23
*Cc1cc(*)c(O)cc1C,0.45