SMILES,TD
*/C(Br)=C(/*)c1ccccc1,1.17
*/C(C#N)=C(/*)c1ccccc1,1.21
*/C(CC)=C(/*)c1ccccc1,1.15
*/C(CCCCCC)=C(/*)c1ccccc1,1.43
*/C(Cl)=C(/*)c1ccccc1,1.07
*/C(I)=C(/*)c1ccccc1,0.884
*/C(OC)=C(\OC)c1ccc(*)cc1,1.9
*/C=C(/*)CCCCCCCCCCOc1ccc(-c2ccc(C(=O)OC(C)CCCCCC)cc2)cc1,1.97
*/C=C(/*)CCCCCCCCCCOc1ccc(-c2ccc(OCC(F)CCCCCC)cc2)cc1,2.67
*/C=C(/*)CCCCCCCCCCOc1ccc(-c2ccc(OCCCCCCCC)cc2)cc1,2.26
*/C=C(/*)CCCOc1ccc(-c2ccc(C(=O)OC(C)CCCCCC)cc2)cc1,2.45
*/C=C(/*)CCCOc1ccc(-c2ccc(C(=O)OCC(F)CCCCCC)cc2)cc1,2.02
*/C=C(/*)CCCOc1ccc(-c2ccc(CCCCC)cc2)cc1,2.68
*/C=C(/*)CNCc1ccccc1,1.59
*/C=C(/*)CNS(=O)(=O)Cc1ccccc1,1.58
*/C=C(/*)CNS(=O)(=O)c1ccc(C)cc1,1.46
*/C=C(/*)CNS(=O)(=O)c1ccc(CCC)cc1,1.37
*/C=C(/*)CNS(=O)(=O)c1ccccc1,1.84
*/C=C(/*)c1c(C)cc(C(C)(C)C)cc1C,2.53
*/C=C(/*)c1c(F)c(F)c(CCCC)c(F)c1F,1.05
*/C=C(/*)c1ccc(C#C)cc1,2.11
*/C=C(/*)c1ccc(Cl)cc1,1.12
*/C=C(/*)c1ccc(N)cc1,2.18
*/C=C(/*)c1ccc(NC=O)cc1,1.94
*/C=C(/*)c1ccc(OC)cc1,1.67
*/C=C(/*)c1cccc(Br)c1,1.06
*/C=C(/*)c1cccc(C#C)c1,1.7
*/C=C(/*)c1cccc(Cl)c1,1.3
*/C=C(/*)c1ccccc1,1.6
*/C=C(/*)c1ccccc1C,1.62
*/C=C(/*)c1ccccc1C(C)C,1.44
*/C=C(/*)c1ccccc1C(F)(F)F,0.761
*/C=C/C(*)(C)c1ccccc1,1.72
*/C=C/C(C(=O)OC)C(*)c1ccccc1,1.51
*/C=C/C(C(=O)OCCCC)C(*)c1ccccc1,1.5
*/C=C/C(C)C(*)C(=O)OC,1.38
*/C=C/C(C)C(*)C(=O)OCCCCCCN(C)c1ccc(N(C)C)cc1,1.74
*/C=C/C(C)C(*)C(=O)OCCCN(C)c1ccc(N(C)C)cc1,1.52
*/C=C/C(C)C(*)C(=O)OCCN(C)c1ccc(N(C)C)cc1,1.64
*/C=C/C=C/C=C/c1cc(CCCCCCC)c(*)cc1CCCCCCC,2.01
*/C=C/CC(C*)(c1ccccc1)c1ccccc1,1.48
*/C=C/CC(C*)c1ccccc1,1.7
*/C=C/c1cc(CC(CC)CCCC)c(*)cc1CCCC,2.93
*/C=C/c1cc(CCCCCCC)c(*)cc1CCCCCCC,1.97
*/C=C/c1cc(OC(C)C)c(*)cc1OC,3.91
*/C=C/c1cc(OC)c(*)cc1Br,3.17
*/C=C/c1cc(OC)c(*)cc1C,3.1
*/C=C/c1cc(OCC(CC)CCCC)c(*)cc1OC,3.9
*/C=C/c1cc(OCC)c(*)cc1OCC,3.21
*/C=C/c1cc(OCC)c(-c2cc(OCC)c(*)cc2OCC)cc1OCC,2.1
*/C=C/c1cc(OCCC(C)CCCC(C)C)c(*)cc1OC,2.23
*/C=C/c1cc(OCCCC)c(*)cc1OC,3.29
*/C=C/c1cc(OCCCCCC)c(*)cc1OCCCCCC,2.8
*/C=C/c1ccc(*)c(C(=O)OC(C)(C)C)c1C(=O)OC(C)(C)C,1.66
*/C=C/c1ccc(*)c(F)c1,2.17
*/C=C/c1ccc(*)c(OC)c1,5.78
*/C=C/c1ccc(*)c(OCc2cc(OCCC(C)CCCC(C)C)cc(OCC(CC)CCCC)c2)c1,1.7
*/C=C/c1cccc(*)c1,2.48
*C(=O)N(*)Cc1ccccc1,1.12
*C(=O)N(*)c1ccc(OC)cc1,1.16
*C(=O)N(*)c1cccc(C)c1,1.39
*C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(N6C(=O)c7ccc(*)cc7C6=O)cccc45)cc2)C3=O)cc1,3.54
*C(=O)c1ccc(-c2ccc(*)cc2)cc1,4.05
*C(F)(F)C(*)(F)Cl,0.96
*C(F)(F)C(*)(F)OC(F)C(F)F,0.626
*C(F)(F)C(*)(F)c1ccccc1,1.84
*C(F)(F)C(F)(F)C1(F)C(*)(F)OC(F)(F)C1(F)F,0.898
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],1.72
*C(c1ccccc1)C(*)(C#N)C#N,1.17
*C(c1ccccc1)C(*)(C#N)C(=O)OCC,1.29
*C1C(=O)N(C2CCCCC2)C(=O)C1*,1.25
*C1C(=O)N(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)C(=O)C1*,1.74
*C1C(=O)N(c2ccccc2)C(=O)C1*,1.17
*C1C(=O)N(c2ccccc2C(=O)OC)C(=O)C1*,1.13
*C1C(=O)OC(=O)C1*,0.93
*C1C2CCC(C2)C1*,1.36
*C1C=CC(*)C1,2.08
*C1CC2C3CCC(C3)C2C1*,1.39
*C1CC2CC1C(*)C2CCCC,1.25
*C1CC2CC1C(*)C2CCCCCC,1.51
*C1CCC(*)C1,2.92
*C1CCC1*,1.28
*C1Cc2ccccc2C1*,1.17
*CC#CC#CCOc1ccc(-c2ccc(O*)cc2)cc1,3.2
*CC#CC#CCOc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,2.36
*CC(*)(C#N)C(=O)OC,1.22
*CC(*)(C#N)C(=O)OCC,1.44
*CC(*)(C#N)C(=O)OCCCC,1.33
*CC(*)(C#N)C(=O)OCCCCCC,3.83
*CC(*)(C(=O)OC)c1ccccc1,1.23
*CC(*)(C)C(=O)OC,1.21
*CC(*)(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,0.352
*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,0.504
*CC(*)(C)C(=O)OC(C)(C)C,1.25
*CC(*)(C)C(=O)OC(C)C(C)(C)C,1.35
*CC(*)(C)C(=O)OC(C)C(F)(F)F,0.848
*CC(*)(C)C(=O)OC(C)CC,1.4
*CC(*)(C)C(=O)OC(C)OCCOc1ccccc1,1.35
*CC(*)(C)C(=O)OC(C)Oc1ccc(OC)cc1,1.51
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,0.517
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,0.506
*CC(*)(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.558
*CC(*)(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,0.928
*CC(*)(C)C(=O)OC12CC3CC(CC(C3)C1)C2,0.989
*CC(*)(C)C(=O)OC1CC(C)CC(C)(C)C1,1.28
*CC(*)(C)C(=O)OC1CC2CCC1(C)C2(C)C,1.14
*CC(*)(C)C(=O)OC1CCC(C(C)(C)C)CC1,1.18
*CC(*)(C)C(=O)OC1CCCCC1C,1.17
*CC(*)(C)C(=O)OCC(C)(C)C1OCC(C)(C)CO1,1.26
*CC(*)(C)C(=O)OCC(CC)CCCC,1.37
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.564
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.467
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.71
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,0.596
*CC(*)(C)C(=O)OCCC#N,0.983
*CC(*)(C)C(=O)OCCCCCCCCCC,1.79
*CC(*)(C)C(=O)OCCCCCCCCCCCC,1.85
*CC(*)(C)C(=O)OCCCCCCCCCCCCCC,2.16
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC,1.81
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,2.2
*CC(*)(C)C(=O)OCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,2.07
*CC(*)(C)C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.68
*CC(*)(C)C(=O)OCc1cccc([N+](=O)[O-])c1,1.14
*CC(*)(C)C(=O)OCc1ccccc1Cl,1.21
*CC(*)(C)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.652
*CC(*)(C)C(=O)Oc1ccc(C#N)cc1,1.07
*CC(*)(C)C(=O)Oc1ccc(C)cc1,1.29
*CC(*)(C)C(=O)Oc1ccc(CC#N)cc1,1.31
*CC(*)(C)C(=O)Oc1ccc([N+](=O)[O-])cc1,1.15
*CC(*)(C)C(=O)Oc1cccc(C)c1,1.22
*CC(*)(C)C(=O)Oc1ccccc1,1.49
*CC(*)(C)C(N)=O,1.03
*CC(*)(C)CC,1.28
*CC(*)(C)CCC,1.35
*CC(*)(C)c1ccc(Br)cc1,0.981
*CC(*)(C)c1ccc(C(C)C)cc1,1.73
*CC(*)(C)c1ccc(C)cc1,1.45
*CC(*)(C)c1ccc(F)cc1,1.11
*CC(*)(C)c1ccccc1,1.48
*CC(*)(CC(=O)OC)C(=O)OC,1.09
*CC(*)(CC(=O)OCC)C(=O)OCC,1.23
*CC(*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,1.32
*CC(*)(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,1.32
*CC(*)(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,1.34
*CC(*)(CC(=O)Oc1ccccc1C)C(=O)Oc1ccccc1C,1.3
*CC(*)(CF)C(=O)OC,0.995
*CC(*)(Cl)C(=O)OC(C)CC,1.32
*CC(*)(Cl)C(=O)OC1CCCCC1,1.05
*CC(*)(Cl)C(=O)OCCCC,1.26
*CC(*)(F)C#N,1.11
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.628
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.55
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.615
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.622
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,0.603
*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.586
*CC(*)(OC(C)=O)c1ccc(OC(=O)CCC)cc1,1.35
*CC(*)(OC(C)=O)c1ccc(OC(=O)OC)cc1,1.37
*CC(*)C(=O)C1CCCCC1,1.48
*CC(*)C(=O)N(C(C)C)C(C)C,1.48
*CC(*)C(=O)N(CC=C)c1c(C)cccc1C,1.3
*CC(*)C(=O)N(CCCC)CCCC,1.49
*CC(*)C(=O)N(O)c1ccc(C)cc1,1.52
*CC(*)C(=O)N(O)c1cccc(C)c1,1.41
*CC(*)C(=O)N(O)c1ccccc1C,1.44
*CC(*)C(=O)N1CCCCC1,1.45
*CC(*)C(=O)NC(C)C,1.58
*CC(*)C(=O)NCCCCCC(=O)O,1.64
*CC(*)C(=O)NCCCCCCCC/C=C/CCCCCCCC,2.14
*CC(*)C(=O)NCCCCCCCCCCCC,2.41
*CC(*)C(=O)NCCCCCCCCCCCCCCCC,2.18
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCCCCCC,2.55
*CC(*)C(=O)O,1.33
*CC(*)C(=O)OC,1.44
*CC(*)C(=O)OC(CCC(CC)CCCC)CC(C)C,1.67
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,0.713
*CC(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,1.22
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.512
*CC(*)C(=O)OCCC#N,1.36
*CC(*)C(=O)OCCCCCCCCCCCCCC,2.22
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,2.5
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,2.61
*CC(*)C(=O)OCCCCCCCCCCOc1ccc(C(=O)O)cc1,1.79
*CC(*)C(=O)OCCCCCCCCCCOc1cccc(C(=O)O)c1,1.91
*CC(*)C(=O)OCCCCCCCCCCOc1ccccc1C(=O)O,1.62
*CC(*)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,1.64
*CC(*)C(=O)OCCCCCCSCC#N,1.48
*CC(*)C(=O)OCCCSCCC#N,1.47
*CC(*)C(=O)OCCOc1ccc(C(C)(C)c2ccc(OCCO)cc2)cc1,1.86
*CC(*)C(=O)OCCSCC#N,1.22
*CC(*)C(=O)OCc1ccc(C#N)cc1,1.39
*CC(*)C(=O)OCc1ccc(OC(=O)OC(C)(C)C)cc1,1.57
*CC(*)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.647
*CC(*)C(=O)Oc1ccc(C#N)cc1,1.43
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,1.69
*CC(*)C(=O)Oc1ccc(C(=O)OCc2ccccc2)cc1,1.66
*CC(*)C(=O)Oc1ccc(Cl)c(C)c1,1.28
*CC(*)C(=O)Oc1ccc(OC)cc1,1.54
*CC(*)C(=O)Oc1cccc(C)c1,1.58
*CC(*)C(=O)Oc1cccc2ccccc12,1.35
*CC(*)C(=O)Oc1ccccc1,1.5
*CC(*)C(=O)Oc1ccccc1-c1ccccc1,1.48
*CC(*)C(=O)Oc1ccccc1Cl,1.29
*CC(*)C(=O)c1ccc(CC)cc1,1.61
*CC(*)C(=O)c1ccc(OCC)cc1,1.54
*CC(*)C(=O)c1ccccc1O,1.2
*CC(*)C(C)=O,1.32
*CC(*)C(C)C,1.5
*CC(*)C(C)CC,1.46
*CC(*)C(C)c1ccccc1,1.29
*CC(*)C(CC)CC,1.45
*CC(*)C1CC=CCC1,1.34
*CC(*)C1CCC(C)CC1,1.53
*CC(*)C1CCC1,1.55
*CC(*)C1CCCC(C)C1,1.46
*CC(*)C1CCCC1,1.45
*CC(*)C1CCCCC1,1.48
*CC(*)C=C(C)C,1.56
*CC(*)CC,1.65
*CC(*)CC(C)(C)C,1.38
*CC(*)CC(C)(C)CC,1.4
*CC(*)CC(C)C,1.61
*CC(*)CC(C)C(F)(F)F,1.03
*CC(*)CC(C)CC,1.52
*CC(*)CC(CC)CC,1.63
*CC(*)CC1CCCC1,1.66
*CC(*)CC1CCCCC1,1.73
*CC(*)CCC,1.83
*CC(*)CCC(C)(C)C,1.51
*CC(*)CCC(C)C,1.59
*CC(*)CCC(C)CC,1.69
*CC(*)CCC1CCCCC1,1.54
*CC(*)CCCC,1.69
*CC(*)CCCC(C)(C)C,1.63
*CC(*)CCCC(C)C,1.87
*CC(*)CCCC1CCCCC1,1.7
*CC(*)CCCCC,1.86
*CC(*)CCCCCC,1.71
*CC(*)CCCCCCC,1.91
*CC(*)CCCCCCCC,2.03
*CC(*)CCCCCCCCC,2.25
*CC(*)CCCCCCCCCC,2.33
*CC(*)CCCCCCCCCCC,2.27
*CC(*)CCCCCCCCCCCC,2.37
*CC(*)CCCCCCCCCCCCC,2.36
*CC(*)CCCCCCCCCCCCCC,2.37
*CC(*)CCCCCCCCCCCCCCCC,2.6
*CC(*)CCCCCCCCCCCCCCCCCC,2.63
*CC(*)CCCN(CC(C)C)CC(C)C,1.44
*CC(*)CCc1ccc(C)cc1,1.74
*CC(*)CCc1ccccc1,1.4
*CC(*)CCc1ccccc1C,1.67
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1.29
*CC(*)Cc1cc(C)cc(C)c1,1.41
*CC(*)Cc1cc(C)ccc1C,1.51
*CC(*)Cc1ccc(C)c(C)c1,1.52
*CC(*)Cc1ccccc1,1.6
*CC(*)Cl,1.14
*CC(*)O,3.17
*CC(*)OC(=O)/C=C/c1ccccc1,1.52
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.565
*CC(*)OC(=O)CCCCCCCCCCCCCCC,2.17
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,2.1
*CC(*)OC(=O)c1ccc(C#N)cc1,1.42
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,1.63
*CC(*)OC(=O)c1ccccc1,1.29
*CC(*)OCC(C)(C)CC(C)C,1.63
*CC(*)OCCCCCCCCCCCCCCCCCC,2.65
*CC(*)OCCOc1ccc(/C=C(\C#N)C(=O)OC)cc1,1.67
*CC(*)S(=O)c1ccc(Cl)cc1,0.986
*CC(*)S(=O)c1ccc(F)cc1,0.997
*CC(*)S(=O)c1ccc(OC)cc1,1.38
*CC(*)c1c(C)cc(C)cc1C,1.42
*CC(*)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,0.651
*CC(*)c1c(F)c(F)c(F)c(F)c1F,0.649
*CC(*)c1c([2H])c([2H])c([2H])c([2H])c1[2H],1.6
*CC(*)c1cc(C(C)(C)C)ccc1C,1.35
*CC(*)c1cc(C(C)C)ccc1C(C)C,1.44
*CC(*)c1cc(C)c(C)cc1C,1.79
*CC(*)c1cc(C)cc(C)c1,1.55
*CC(*)c1cc(C)ccc1C,1.5
*CC(*)c1cc(C)ccc1F,1.35
*CC(*)c1cc(Cl)ccc1Cl,1.62
*CC(*)c1cc(F)ccc1F,1.05
*CC(*)c1cc(OC(C)CC)ccc1OC(C)CC,1.69
*CC(*)c1cc(OC)ccc1OC,1.67
*CC(*)c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2ccccc2-3)cc1,1.72
*CC(*)c1ccc(-c2ccccc2)cc1,1.76
*CC(*)c1ccc(C#C)cc1,2.1
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,2.01
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,1.61
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,0.989
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,1.2
*CC(*)c1ccc(C(=O)OC)cc1,1.61
*CC(*)c1ccc(C(=O)OOC(C)(C)C)cc1,1.66
*CC(*)c1ccc(C(C)(C)C)cc1,1.6
*CC(*)c1ccc(C(C)C)cc1,1.9
*CC(*)c1ccc(C(C)C)cc1C(C)C,1.68
*CC(*)c1ccc(C(C)CC)cc1,1.91
*CC(*)c1ccc(C)c(C)c1,1.62
*CC(*)c1ccc(C)cc1,1.61
*CC(*)c1ccc(C)cc1C,1.56
*CC(*)c1ccc(C=C)cc1,2.19
*CC(*)c1ccc(C=O)cc1,1.43
*CC(*)c1ccc(CC)cc1,1.67
*CC(*)c1ccc(CCC#C)cc1,2.14
*CC(*)c1ccc(CCC)cc1,1.87
*CC(*)c1ccc(CCCC)cc1,1.66
