SMILES,TG
*C*,264.42
*CC(*)C,341.82
*CC(*)CC,339.16
*CC(*)CCC,302.57
*CC(*)C(C)C,410.13
*CC(*)CCCC,183.31
*CC(*)CC(C)C,373.8
*CC(*)CCCCC,225.18
*CC(*)CCCCCCC,265.43
*CC(*)CCCCCCCC,249.82
*CC(*)(C)C,294.42
*CCCC(*)(C)C,264.16
*CCCCCCCC(*)C,274.15
*CC(*)CCCCCCCCCC,236.21
*CC(*)CCCCCCCCCCCC,272.23
*/C=C/CCC*,204.66
*/C=C/CC*,196.06
*CC(*)CCCCCCCCCCCCCC,285.48
*/C=C/CCCCCC*,215.37
*CC1(*)CCCCC1,399.16
*CC/C=C(/*)C(C)(C)C,366.89
*CC(*)n1cc2ccccc2n1,360.72
*CC(*)O,363.19
*CC(*)C(C)=O,366.77
*CC(*)C#N,314.79
*CC(*)(C)C#N,465.49
*CC(*)OC,263.77
*CC(*)OCC,291.24
*CC(*)OC(=O)CC,296.05
*CC(*)O[N+](=O)[O-],344.94
*/C=C/C(C)C(*)C(=O)OC,347.66
*CC(*)OC(C)C,341.07
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,453.12
*CC(*)C(=O)c1ccc(C)cc1,399.96
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,273.42
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,406.25
*C1Cc2ccccc2C1*,507.43
*CCC/C=C(/*)c1ccc(Cl)cc1,341.78
*CC(*)CNc1ccc([N+](=O)[O-])cn1,310.2
*C1C(=O)N(C2CCCCC2)C(=O)C1*,636.03
*CCCC(*)(C)C(=O)O,433.64
*CCCCCCCCCCC(Cl)C(*)Cl,209.46
*CCC(Cl)C(*)Cl,378.71
*CC(C)(C)O*,374.6
*CC(O*)c1ccccc1,340.71
*Oc1c(C)cc(*)cc1C,543.48
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,472.22
*Oc1c(C)cc(*)cc1-c1ccccc1,467.51
*CC(O)COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl,464.11
*OC1CCCCC1*,306.91
*CCc1ccc(*)o1,295.01
*SC(*)(F)F,238.03
*CCS*,228.54
*Sc1ccc(*)cc1,378.21
*Sc1c(C)cc(*)cc1C,543.87
*CCc1ccc(*)s1,305.65
*CCCCCCCCCCOC(=O)CCCCCCC(=O)O*,247.3
*CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*,245.51
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,438.33
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,442.47
*CCCCCCCCCCCCCCC(=O)O*,240.51
*CCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O*,254.07
*CCCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,259.05
*CC(CCCCCCCCCCCCCCCC)C(CCCCCCCCCCCCCCCC)COC(=O)c1ccc(C(=O)O*)cc1,251.22
*CCCCCCCCCCCCCCCCCCCCOC(=O)CC(=O)O*,285.95
*CCCCOC(=O)CCCCCCCC(=O)O*,250.75
*CCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,332.1
*CCCOC(=O)C1CCC(C(=O)O*)CC1,240.5
*CCC(C)CCC(=O)O*,241.19
*Oc1cc(CCC)cc(OC(=O)c2cccc(C(*)=O)c2)c1,354.56
*Oc1cccc(OC(=O)c2ccc(C(C)(C)c3ccc(C(*)=O)cc3)cc2)c1,441.8
*Oc1ccc(OC(=O)CCCCCCCCC(*)=O)cc1,317.24
*CCCCNC(=O)CCCCC(=O)N*,311.36
*CCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,259.15
*CCCCCCCCCCCC(=O)N*,269.47
*CCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,241.17
*CCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,312.89
*CCc1ccc(CCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*)cc1,300.09
*CCCCCCCCCCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,349.05
*CCCCCCCCCCC(=O)NCCCCCC(=O)N*,279.19
*CCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,279.85
*CCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,222.08
*CCCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,266.34
*CCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)N*,301
*CCCCCCCCCCCCNC(=O)NCCCCCCNC(=O)N*,339.78
*CCCCCCCCCCCCCCNC(=O)NCCCCCCNC(=O)N*,322.44
*CCCCCCCCCCCCCCCCCCNC(=O)NCc1ccc(CNC(=O)N*)cc1,331.83
*CCCC1CC(=O)N(*)C(=O)C1,370.72
*c1ccc(Cc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,663.36
*c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,652.17
*c1ccc2c(c1)C(=O)N(c1cc(OCCN(CC)c3ccc(/N=N/c4ccc([N+](=O)[O-])cc4)cc3)cc(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)c1)C2=O,606.15
*c1ccc(N2C(=O)c3ccc(-c4cccc5c4C(=O)N(*)C5=O)cc3C2=O)cc1,703.83
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,381.14
*Oc1ccc(C(C)(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,400.88
*Oc1ccc(C(CCC)(CCC)c2ccc(OC(*)=O)cc2)cc1,473.85
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCC2)cc1,450.16
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCCC2)cc1,485.87
*Oc1ccc(C2(c3ccc(OC(*)=O)c(C)c3)CCCCC2)cc1C,447.8
*Oc1c(Cl)cc(C2(c3cc(Cl)c(OC(*)=O)c(Cl)c3)CCCCC2)cc1Cl,498.16
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,579.72
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(C)c2)cc1C,525.34
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CC3CCC2C3)cc1,546.41
*CCN*,240.62
*CCN(*)C(=O)CCCCCCCCCCCCCCCCC,311.01
*c1nc(-c2ccccc2)nc(N(c2ccccc2)c2ncnc(N(*)c3ccccc3)n2)n1,478.71
*c1nc(C)nc(N(CCCCCCN(*)c2ccccc2)c2ccccc2)n1,312.66
*c1ccc(C(F)(F)C(*)(F)F)cc1,415.18
*c1ccc(C(Cl)(Cl)C(*)Cl)cc1,472.13
*CCCCCC(*)CCCCCCCCCC,260.23
*/C=C/CCCCCCCCCC(CCCCCCCCC*)COCCOCCOCCOCCOCCCCCC,242.68
*c1ccc(-c2sc(-c3cc(CCCCCCCCCCCC)c(*)s3)cc2CCCCCCCCCCCC)cc1,362.76
*Oc1ccc2c(c1)C1(CC2(C)C)CC(C)(C)c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc21,574.34
*CCCCOC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O*,248.55
*CCCCCCCCCCCCCCC(=O)N*,279.91
*CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N*,502.75
*CCCCCCNC(=O)CCCCCCCCCCCCCCC(=O)N*,301.68
*CCCCCCCCNC(=O)CCCCCCCCCCCCCCC(=O)N*,270.19
*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCC(=O)N*,295.9
*CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCC(=O)N*,302.05
*CCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N*,291.44
*CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N*,279.95
*CCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N*,282.31
*c1ccc2c(c1)C(=O)N(c1cccc(C(c3cccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)c1)C2=O,644.3
*CC(CCCCCCCCCCCCCCCC)C1C(=O)N(CCCCCCCCCCCC)C(=O)C1*,288.84
*Oc1c(C)cc(C(c2cc(C)c(OC(*)=O)c(C)c2)(C(F)(F)F)C(F)(F)F)cc1C,561.49
*Oc1ccc2c(c1)C1(CC2(C)C)CC(C)(C)c2ccc(OC(*)=O)cc21,508.32
*CCCCCCCCCCN/C(C)=N/*,281.64
*Nc1ccc(*)cc1OCCCCCCCCCCCCCCCC,416.59
*OS(=O)(=O)c1cccc(S(=O)(=O)Oc2ccc(C3(c4ccc(*)cc4)CCCCC3)cc2)c1,376.16
*/C=C/c1cc(OCCCCCCCCCCCCCCCC)c(/C=C/c2ccc(*)cc2)cc1OCCCCCCCCCCCCCCCC,266.44
*/C=C/c1cc(OCCCCCC)c(*)cc1OC,381.17
*c1ccc(-c2cc(-c3ccc(OCCCCCC)cc3)cc(-c3ccc(-c4ccc5c(c4)C(CCCCCC)(CCCCCC)c4cc(*)ccc4-5)cc3)c2-c2ccc(OCCCCCC)cc2)cc1,376.27
*/C=C/c1ccc(*)c(-c2c(OCC(CC)CCCC)ccc3ccccc23)c1,421.55
*c1ccc(-c2ccc3c(c2)C(CCCCCCBr)(CCCCCCBr)c2cc(*)ccc2-3)cc1,284.57
*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,391.59
*/C=C/c1ccc(*)c(-c2cc(OCCC(C)C)c(OCCC(C)C)cc2-c2ccccc2)c1,461.83
*c1ccc(-c2ccc(C3(*)c4ccccc4-c4ccccc43)cc2)cc1,693.75
*/C=C/c1cc(OCC2CC3CC2C2CCCC32)c(*)cc1OC,519.06
*c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2cc(*)ccc2-3)cc1,475.59
*c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(-c3cc(CCCCCC)c(*)cc3CCCCCC)ccc1-2,476.36
*c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(-c3cc(CCCCCCCC)c(*)cc3CCCCCCCC)ccc1-2,361.2
*/C=C/c1cc(OCCCCCCCC)c(*)cc1OC,397.49
*/C=C/c1cc(OCCCCCCCCCCCC)c(*)cc1OC,365.98
*c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(-c3cc(OCCCCCCCC)c(*)cc3OCCCCCCCC)ccc1-2,340.4
*c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(-c3cc(OCc4ccccc4)c(*)cc3OCc3ccccc3)ccc1-2,369.78
*/C=C/c1cc(OCC(CC)CCCC)c(*)cc1-c1ccc(F)c(C(F)(F)F)c1,360.72
*/C=C/c1cc(OCCc2ccccc2)c(*)cc1OC,364.08
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,442.88
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,405.18
*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,284.39
*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,382.17
*CC(F)(F)C1(F)CC(C(O)(C(F)(F)F)C(F)(F)F)CC1*,345.51